id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
idil.access_idil_customer_registration,access_idil_customer_registration,idil.model_idil_customer_registration,base.group_user,1,1,1,1
idil.access_idil_customer_type_registration,access_idil_customer_type_registration,idil.model_idil_customer_type_registration,base.group_user,1,1,1,1
idil.access_idil_vendor_registration,access_idil_vendor_registration,idil.model_idil_vendor_registration,base.group_user,1,1,1,1
idil.access_idil_item,access_idil_item,idil.model_idil_item,base.group_user,1,1,1,1
idil.access_idil_unit_measure,access_idil_unit_measure,idil.model_idil_unit_measure,base.group_user,1,1,1,1
idil.access_idil_item_category,access_idil_item_category,idil.model_idil_item_category,base.group_user,1,1,1,1
idil.access_idil_chart_account_subheader,access_idil_chart_account_subheader,idil.model_idil_chart_account_subheader,base.group_user,1,1,1,1
idil.access_idil_chart_account_header,access_idil_chart_account_header,idil.model_idil_chart_account_header,base.group_user,1,1,1,1
idil.access_idil_chart_account,access_idil_chart_account,idil.model_idil_chart_account,base.group_user,1,1,1,1
idil.access_idil_purchase_order,access_idil_purchase_order,idil.model_idil_purchase_order,base.group_user,1,1,1,1
idil.access_idil_purchase_order_line,access_idil_purchase_order_line,idil.model_idil_purchase_order_line,base.group_user,1,1,1,1
idil.access_idil_transaction_booking,access_idil_transaction_booking,idil.model_idil_transaction_booking,base.group_user,1,1,1,1
idil.access_idil_transaction_bookingline,access_idil_transaction_bookingline,idil.model_idil_transaction_bookingline,base.group_user,1,1,1,1
idil.access_idil_bom_line,access_idil_bom_line,idil.model_idil_bom_line,base.group_user,1,1,1,1
idil.access_idil_bom,access_idil_bom,idil.model_idil_bom,base.group_user,1,1,1,1
idil.access_idil_bom_type,access_idil_bom_type,idil.model_idil_bom_type,base.group_user,1,1,1,1
idil.access_my_product_product,access_my_product_product,idil.model_my_product_product,base.group_user,1,1,1,1
idil.access_idil_manufacturing_order_line,access_idil_manufacturing_order_line,idil.model_idil_manufacturing_order_line,base.group_user,1,1,1,1
idil.access_idil_manufacturing_order,access_idil_manufacturing_order,idil.model_idil_manufacturing_order,base.group_user,1,1,1,1
idil.access_idil_account_balance_report,access_idil_account_balance_report,idil.model_idil_account_balance_report,base.group_user,1,1,1,1
idil.access_idil_vendor_balance_report,access_idil_vendor_balance_report,idil.model_idil_vendor_balance_report,base.group_user,1,1,1,1
idil.access_idil_sale_order,access_idil_sale_order,idil.model_idil_sale_order,base.group_user,1,1,1,1
idil.access_idil_sale_order_line,access_idil_sale_order_line,idil.model_idil_sale_order_line,base.group_user,1,1,1,1
idil.access_idil_salesperson_place_order,access_idil_salesperson_place_order,idil.model_idil_salesperson_place_order,base.group_user,1,1,1,1
idil.access_idil_salesperson_place_order_line,access_idil_salesperson_place_order_line,idil.model_idil_salesperson_place_order_line,base.group_user,1,1,1,1
idil.access_idil_sales_sales_personnel,access_idil_sales_sales_personnel,idil.model_idil_sales_sales_personnel,base.group_user,1,1,1,1
idil.access_idil_sales_balance_report,access_idil_sales_balance_report,idil.model_idil_sales_balance_report,base.group_user,1,1,1,1
idil.access_idil_transaction_source,access_idil_transaction_source,idil.model_idil_transaction_source,base.group_user,1,1,1,1
idil.access_idil_vendor_transaction_report,access_idil_vendor_transaction_report,idil.model_idil_vendor_transaction_report,base.group_user,1,1,1,1
idil.access_model_a,access_model_a,idil.model_model_a,base.group_user,1,1,1,1
idil.access_pos_session1,access_pos_session1,idil.model_pos_session1,base.group_user,1,1,1,1
idil.access_pos_order1,access_pos_order1,idil.model_pos_order1,base.group_user,1,1,1,1
idil.access_idil_payment_method,access_idil_payment_method,idil.model_idil_payment_method,base.group_user,1,1,1,1
idil.access_idil_employee,access_idil_employee,idil.model_idil_employee,base.group_user,1,1,1,1
idil.access_idil_kitchen,access_idil_kitchen,idil.model_idil_kitchen,base.group_user,1,1,1,1
idil.access_idil_kitchen_transfer,access_idil_kitchen_transfer,idil.model_idil_kitchen_transfer,base.group_user,1,1,1,1
idil.access_idil_kitchen_transfer_line,access_idil_kitchen_transfer_line,idil.model_idil_kitchen_transfer_line,base.group_user,1,1,1,1
idil.access_idil_trial_balance,access_idil_trial_balance,idil.model_idil_trial_balance,base.group_user,1,1,1,1
idil.access_idil_kitchen_cook_process,access_idil_kitchen_cook_process,idil.model_idil_kitchen_cook_process,base.group_user,1,1,1,1
idil.access_idil_kitchen_cook_line,access_idil_kitchen_cook_line,idil.model_idil_kitchen_cook_line,base.group_user,1,1,1,1
idil.access_idil_journal_entry,access_idil_journal_entry,idil.model_idil_journal_entry,base.group_user,1,1,1,1
idil.access_idil_journal_entry_line,access_idil_journal_entry_line,idil.model_idil_journal_entry_line,base.group_user,1,1,1,1
idil.access_idil_vendor_transaction,access_idil_vendor_transaction,idil.model_idil_vendor_transaction,base.group_user,1,1,1,1
idil.access_idil_vendor_payment,access_idil_vendor_payment,idil.model_idil_vendor_payment,base.group_user,1,1,1,1
idil.access_idil_trial_balance_wizard,access_idil_trial_balance_wizard,idil.model_idil_trial_balance_wizard,base.group_user,1,1,1,1
idil.access_idil_balance_sheet_report,access_idil_balance_sheet_report,idil.model_idil_balance_sheet_report,base.group_user,1,1,1,1
idil.access_report_currency_wizard,access_report_currency_wizard,idil.model_report_currency_wizard,base.group_user,1,1,1,1
idil.access_report_income_currency_wizard,access_report_income_currency_wizard,idil.model_report_income_currency_wizard,base.group_user,1,1,1,1
idil.access_idil_commission,access_idil_commission,idil.model_idil_commission,base.group_user,1,1,1,1
idil.access_idil_commission_payment,access_idil_commission_payment,idil.model_idil_commission_payment,base.group_user,1,1,1,1
idil.access_idil_currency_exchange,access_idil_currency_exchange,idil.model_idil_currency_exchange,base.group_user,1,1,1,1
idil.access_idil_company_trial_balance,access_idil_company_trial_balance,idil.model_idil_company_trial_balance,base.group_user,1,1,1,1
idil.access_idil_company_trial_balance_wizard,access_idil_company_trial_balance_wizard,idil.model_idil_company_trial_balance_wizard,base.group_user,1,1,1,1
idil.access_idil_income_statement_report,access_idil_income_statement_report,idil.model_idil_income_statement_report,base.group_user,1,1,1,1
